,id,neighborhood_name,price,bedrooms,bathrooms,house_size,year_built,description,neighborhood_description
0,2,Willow Creek,650000,4,3.5,3000,2005,"Discover the perfect family home in the desirable Willow Creek neighborhood. This spacious 4-bedroom, 3.5-bathroom home offers ample living space for entertaining guests and cozy evenings by the fireplace. The modern kitchen features stainless steel appliances and granite countertops, while the backyard oasis includes a patio and lush landscaping.","Willow Creek is known for its top-rated schools, tree-lined streets, and family-friendly atmosphere. Enjoy weekends at the nearby community pool or take a leisurely stroll to the quaint Willow Creek Town Center for shopping and dining."
1,3,Riverfront Estates,950000,5,4.0,5000,2010,"Luxury living awaits in the prestigious Riverfront Estates neighborhood. This 5-bedroom, 4-bathroom home exudes elegance with its grand entrance, high ceilings, and custom finishes. The gourmet kitchen is a chef's dream, while the master suite is a private retreat complete with a spa-like bathroom and walk-in closet.","Riverfront Estates offers waterfront views, private boat docks, and exclusive access to the community clubhouse and tennis courts. Experience resort-style living just minutes away from the vibrant downtown area."
2,4,Sunny Hills,400000,3,2.5,1800,1998,"Welcome home to the charming neighborhood of Sunny Hills. This 3-bedroom, 2.5-bathroom property features a light-filled open floor plan, updated kitchen with granite countertops, and a cozy backyard perfect for outdoor gatherings. The spacious master suite offers a private sanctuary to unwind after a long day.","Sunny Hills is a family-friendly community with parks, playgrounds, and walking trails. Enjoy easy access to local schools, shopping centers, and dining options, making it the perfect place to call home."
3,5,Oak Ridge,750000,4,3.0,2800,2008,"Live the ultimate suburban lifestyle in the sought-after Oak Ridge neighborhood. This 4-bedroom, 3-bathroom home offers luxury finishes, a gourmet kitchen, and a covered outdoor living area ideal for year-round entertaining. The oversized master suite features a spa-like bathroom and custom walk-in closet.","Oak Ridge boasts tree-lined streets, community parks, and top-rated schools within walking distance. Enjoy a sense of community with neighborhood events, farmer's markets, and outdoor movie nights."
4,6,Maple Grove,550000,3,2.5,2400,2000,"Step into this meticulously maintained home in the desirable Maple Grove neighborhood. With 3 bedrooms, 2.5 bathrooms, and a spacious open floor plan, this property is perfect for families or those who love to entertain. The backyard oasis features a patio, garden beds, and a tranquil fountain.","Maple Grove offers tree-lined streets, community events, and easy access to walking trails and parks. Conveniently located near shopping centers, dining options, and excellent schools, this neighborhood has everything you need for a balanced lifestyle."
5,7,Pinecrest Heights,300000,2,1.5,1500,1980,"Cozy up in this charming 2-bedroom, 1.5-bathroom home in the tranquil Pinecrest Heights neighborhood. The bright and airy living spaces feature hardwood floors, a brick fireplace, and plenty of natural light. The private backyard is perfect for enjoying morning coffee or hosting intimate gatherings.","Pinecrest Heights is a hidden gem that offers peace and serenity amidst the bustling city. Enjoy a slower pace of life with mature trees, wildlife sightings, and a strong sense of community among neighbors."
6,8,Meadowbrook Ridge,850000,4,3.0,3200,2015,"Indulge in luxury living in the upscale Meadowbrook Ridge neighborhood. This stunning 4-bedroom, 3-bathroom home features high-end finishes, a gourmet kitchen with top-of-the-line appliances, and a private backyard retreat with a custom pool and spa. The sprawling master suite offers a peaceful haven to escape the daily hustle and bustle.","Meadowbrook Ridge is an exclusive community known for its grand estates, lush landscaping, and picturesque views. Residents enjoy access to private walking trails, tennis courts, and a country club for social gatherings and events."
7,9,Cedar Grove,500000,3,2.0,2200,2003,"Welcome to the tranquil neighborhood of Cedar Grove. This 3-bedroom, 2-bathroom home offers a comfortable and inviting space to call your own. The open floor plan is perfect for modern living, while the backyard patio is ideal for outdoor dining and relaxation.","Cedar Grove is a close-knit community with friendly neighbors and a warm atmosphere. Enjoy scenic views of the surrounding mountains, easy access to hiking trails, and a short drive to local shops and restaurants."
8,10,Sunset Hills,700000,4,3.5,2600,2007,"Experience luxury living in the prestigious Sunset Hills neighborhood. This 4-bedroom, 3.5-bathroom home offers an elegant escape with high ceilings, custom finishes, and a chef's kitchen with top-of-the-line appliances. The outdoor terrace provides stunning views and a perfect spot for al fresco dining.","Sunset Hills is known for its upscale homes, private golf courses, and panoramic views of the city skyline. Residents enjoy a sense of exclusivity with gated entrances, community events, and easy access to nearby shopping and dining."
9,11,Riverside Park,450000,3,2.5,1900,1995,"Escape to the peaceful retreat of Riverside Park. This 3-bedroom, 2.5-bathroom home offers a cozy living space with a brick fireplace, updated kitchen, and hardwood floors. The fenced backyard is a private oasis with mature trees and a deck for outdoor entertaining.","Riverside Park is a nature lover's paradise with walking trails along the river, serene parks, and wildlife sightings. Enjoy a laid-back lifestyle with easy access to local cafes, farmers markets, and community festivals."
